101,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,,,,,,,,,,,,
102,tropical fruit,yogurt,coffee,,,,,,,,,,,,,,,,,,,,
103,milk,,,,,,,,,,,,,,,,,,,,,,
104,pip fruit,yogurt,cream cheese ,meat spreads,,,,,,,,,,,,,,,,,,,
105,other vegetables,milk,condensed milk,long life bakery product,,,,,,,,,,,,,,,,,,,
106,milk,butter,yogurt,rice,abrasive cleaner,,,,,,,,,,,,,,,,,,
107,rolls,,,,,,,,,,,,,,,,,,,,,,
108,other vegetables,cow milk,rolls,bottled beer,liquor (appetizer),,,,,,,,,,,,,,,,,,
109,pot plants,,,,,,,,,,,,,,,,,,,,,,
110,milk,cereals,,,,,,,,,,,,,,,,,,,,,
111,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,,,,,,,,,,,,
112,citrus fruit,tropical fruit,milk,butter,curd,yogurt,flour,bottled water,dishes,,,,,,,,,,,,,,
113,beef,,,,,,,,,,,,,,,,,,,,,,
114,frankfurter,rolls,soda,,,,,,,,,,,,,,,,,,,,
115,chicken,tropical fruit,,,,,,,,,,,,,,,,,,,,,
116,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,
117,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,
118,packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,
119,chocolate,,,,,,,,,,,,,,,,,,,,,,
120,specialty bar,,,,,,,,,,,,,,,,,,,,,,
121,other vegetables,,,,,,,,,,,,,,,,,,,,,,
122,butter milk,pastry,,,,,,,,,,,,,,,,,,,,,
123,milk,,,,,,,,,,,,,,,,,,,,,,
124,tropical fruit,cream cheese ,processed cheese,detergent,newspapers,,,,,,,,,,,,,,,,,,
125,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,,,,,,,,,,,,
126,bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,
127,yogurt,,,,,,,,,,,,,,,,,,,,,,
128,sausage,rolls,soda,chocolate,,,,,,,,,,,,,,,,,,,
129,other vegetables,,,,,,,,,,,,,,,,,,,,,,
130,brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags,,,,,,,,,,,,,,,,,
131,yogurt,beverages,bottled water,specialty bar,,,,,,,,,,,,,,,,,,,
132,hamburger meat,other vegetables,rolls,spices,bottled water,hygiene articles,napkins,,,,,,,,,,,,,,,,
133,root vegetables,other vegetables,milk,beverages,sugar,,,,,,,,,,,,,,,,,,
134,pork,berries,other vegetables,milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner,,,,,,,,,,,,,,,
135,beef,grapes,detergent,,,,,,,,,,,,,,,,,,,,
136,pastry,soda,,,,,,,,,,,,,,,,,,,,,
137,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,
138,canned beer,,,,,,,,,,,,,,,,,,,,,,
